n,m,F,phy_mob_a,beta_p,soc_mob_a,beta_s,r,s,tolerance,q,theta,init_random_prob,radius,noise_rate,num_joint_activities,pool_multiplier,run,time,avg_path_length,dia,avg_degree,cluster_coeff,corr_soc_phy,corr_soc_cul,corr_phy_cul,num_cultures,size_culture,overall_diversity,ass,num_components,largest_component,within_component_diversity,between_component_diversity,component_diversity_ratio,num_communities,largest_community,within_community_diversity,between_community_diversity,community_diversity_ratio,social_clustering,social_closeness,physical_closeness,overall_closeness,physicalStability,socialStability,culturalStability,num_culture_components,num_regions,max_region_size,num_cooperators,num_defectors,num_strategy_regions,max_strategy_region_size,avg_num_players,avg_num_cooperators,avg_did_cooperate,avg_cooperators_over_players,avg_did_cooperate_over_cooperators,avg_payoff,avg_defector_payoff,avg_cooperator_payoff,avg_mpcr,avg_pool_multiplier
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.1,5,0.6,0,20000000,nan,nan,nan,nan,nan,nan,nan,0.9854,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9938,0.0003,0,10000,0.0001,1.0,4.22387,0.00160133,0.000665592,0.000515528,nan,7.2011e-05,0.000185648,-0.000113637,0.6,2.53432
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.1,5,0.6,0,30000000,nan,nan,nan,nan,nan,nan,nan,0.9843,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9936,0.0004,0,10000,0.0001,1.0,4.22536,0.00106737,0.000443654,0.000343628,nan,4.79993e-05,0.000123745,-7.57454e-05,0.6,2.53522
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.1,5,0.6,0,40000000,nan,nan,nan,nan,nan,nan,nan,0.9854,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9943,0.0003,0,10000,0.0001,1.0,4.2269,0.00080043,0.000332699,0.000257689,nan,3.5995e-05,9.2797e-05,-5.6802e-05,0.6,2.53614
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.1,5,0.6,0,50000000,nan,nan,nan,nan,nan,nan,nan,0.9818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9918,0.0003,0,10000,0.0001,1.0,4.22783,0.000640299,0.000266141,0.000206137,nan,2.8794e-05,7.42324e-05,-4.54384e-05,0.6,2.5367
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.1,5,0.6,0,60000000,nan,nan,nan,nan,nan,nan,nan,0.9839,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9937,0.0003,0,10000,0.0001,1.0,4.22825,0.000533569,0.000221778,0.000171776,nan,2.39944e-05,6.18587e-05,-3.78644e-05,0.6,2.53695
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.1,5,0.6,0,70000000,nan,nan,nan,nan,nan,nan,nan,0.9867,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9953,0.0003,0,10000,0.0001,1.0,4.229,0.000457324,0.000190087,0.00014723,nan,2.05657e-05,5.30194e-05,-3.24538e-05,0.6,2.5374
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.1,5,0.6,0,80000000,nan,nan,nan,nan,nan,nan,nan,0.9865,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9947,0.0002,0,10000,0.0001,1.0,4.22915,0.000400153,0.000166324,0.000128824,nan,1.79947e-05,4.63913e-05,-2.83966e-05,0.6,2.53749
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.1,5,0.6,0,90000000,nan,nan,nan,nan,nan,nan,nan,0.9844,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9936,0.0003,0,10000,0.0001,1.0,4.22965,0.000355682,0.000147839,0.000114507,nan,1.59949e-05,4.12356e-05,-2.52407e-05,0.6,2.53779
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.1,5,0.6,0,100000000,nan,nan,nan,nan,nan,nan,nan,0.9874,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9936,0.0004,0,10000,0.0001,1.0,4.22973,0.000320111,0.000133054,0.000103056,nan,1.43953e-05,3.71118e-05,-2.27165e-05,0.6,2.53784
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.01,5,0.6,0,0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,1.0,0.0001,5043,4957,0.1354,0.0223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.01,5,0.6,0,10000000,nan,nan,nan,nan,nan,nan,nan,0.7759,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9236,0.0014,0,10000,0.0001,1.0,6.18012,0.00216659,0.00141973,0.000880273,nan,5.43946e-05,0.000244367,-0.000189972,0.6,3.70807
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.01,5,0.6,0,20000000,nan,nan,nan,nan,nan,nan,nan,0.7339,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9004,0.0012,0,10000,0.0001,1.0,6.43408,0.00107996,0.000707682,0.000438783,nan,2.71136e-05,0.000121808,-9.46941e-05,0.6,3.86045
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.01,5,0.6,0,30000000,nan,nan,nan,nan,nan,nan,nan,0.7396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9035,0.002,0,10000,0.0001,1.0,6.56066,0.000719153,0.00047125,0.000292188,nan,1.80552e-05,8.11126e-05,-6.30574e-05,0.6,3.93639
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.01,5,0.6,0,40000000,nan,nan,nan,nan,nan,nan,nan,0.728,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9014,0.0011,0,10000,0.0001,1.0,6.6284,0.000539048,0.000353229,0.000219012,nan,1.35334e-05,6.07986e-05,-4.72652e-05,0.6,3.97704
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.01,5,0.6,0,50000000,nan,nan,nan,nan,nan,nan,nan,0.7191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9061,0.0018,0,10000,0.0001,1.0,6.67834,0.000431074,0.000282476,0.000175143,nan,1.08226e-05,4.86204e-05,-3.77978e-05,0.6,4.00701
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.01,5,0.6,0,60000000,nan,nan,nan,nan,nan,nan,nan,0.7081,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9007,0.0014,0,10000,0.0001,1.0,6.73016,0.000359125,0.000235329,0.000145911,nan,9.01623e-06,4.05053e-05,-3.14891e-05,0.6,4.03809
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.01,5,0.6,0,70000000,nan,nan,nan,nan,nan,nan,nan,0.7142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.904,0.0015,0,10000,0.0001,1.0,6.77183,0.000307759,0.00020167,0.000125041,nan,7.72663e-06,3.47118e-05,-2.69852e-05,0.6,4.0631
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.01,5,0.6,0,80000000,nan,nan,nan,nan,nan,nan,nan,0.7053,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.8991,0.0017,0,10000,0.0001,1.0,6.80083,0.000269247,0.000176433,0.000109394,nan,6.75975e-06,3.03681e-05,-2.36083e-05,0.6,4.0805
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.01,5,0.6,0,90000000,nan,nan,nan,nan,nan,nan,nan,0.7355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9095,0.0013,0,10000,0.0001,1.0,6.824,0.000239301,0.00015681,9.72269e-05,nan,6.00793e-06,2.69905e-05,-2.09826e-05,0.6,4.0944
10000,100,5,1,10,1,1,1,1,-1,75,0,NA,2,0.01,5,0.6,0,100000000,nan,nan,nan,nan,nan,nan,nan,0.7344,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.9039,0.0012,0,10000,0.0001,1.0,6.83414,0.000215353,0.000141117,8.74968e-05,nan,5.40668e-06,2.42894e-05,-1.88828e-05,0.6,4.10049
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.001,5,0.6,1,0,nan,nan,nan,nan,nan,nan,nan,0.9997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,1.0,0.0001,5039,4961,0.1348,0.0289,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0.001,5,0.6,1,10000000,nan,nan,nan,nan,nan,nan,nan,0.4518,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.8123,0.0033,0,10000,0.0001,1.0,7.15088,0.00268939,0.00200536,0.00107514,nan,9.81491e-05,0.000265296,-0.000167147,0.6,4.29053
